"Name","Shaders","Code Size","Pipelines"
"ClothMaterial","0","0","0"
"ClothMaterial_WF","0","0","0"
"DebugEditorMaterial","0","0","0"
"PhysicalMaterialMaskMaterial","0","0","0"
"PreviewShadowIndicatorMaterial","0","0","0"
"FlattenMaterial","0","0","0"
"FlattenMaterial_VT","0","0","0"
"FlattenMaterial_WS_Normal_VT","0","0","0"
"PhAT_UnselectedMaterial","0","0","0"
"PhAT_NoCollisionMaterial","0","0","0"
"Cross_Mat","0","0","0"
"PhAT_BoneSelectedMaterial","0","0","0"
"PhAT_ElemSelectedMaterial","0","0","0"
"Tick_Mat","0","0","0"
"WidgetGridVertexColorMaterial_Ma","0","0","0"
"WidgetMaterial","0","0","0"
"WidgetMaterial_Current","0","0","0"
"WidgetMaterial_X","0","0","0"
"WidgetMaterial_Y","0","0","0"
"WidgetMaterial_Z","0","0","0"
"WidgetVertexColorMaterial","0","0","0"
"LevelGridMaterial","0","0","0"
"BlinkingCaret","0","0","0"
"M_StreamingPause","0","0","0"
"M_DynamicMeshComponentVtxColor","0","0","0"
"M_Sky_Panning_Clouds2","4","33062","0"
"M_Construction_Universal_ScaleYX","52","379960","8"
"BasicShapeMaterial","10","85036","0"
"M_Construction_Universal_ScaleYZ","52","382984","8"
"M_Frame","10","91870","0"
"M_PlaceholderBottomFace","0","0","0"
"M_PlaceholderLR_Sides","0","0","0"
"M_PlaceholderTopBottomFace","0","0","0"
"M_PlaceholderUpDown_Sides","0","0","0"
"M_Construction_Universal_ScaleXY","26","192624","4"
"M_FPSWeapon_master","32","282286","4"
"M_Construction_Universal_ScaleXZ","26","192864","4"
"M_Weapon_Master_USE","32","282286","4"
"M_ParticleFlash","0","0","0"
"M_ParticleFlashFront","0","0","0"
"M_ParticleSmoke","0","0","0"
"RampMaterial","10","84460","0"
"M_PlainColor","18","165028","0"
"M_Basic_Wall","0","0","0"
"MS_DefaultMaterial","0","0","0"
"M_SkyBox","8","52756","0"
"GridMaterial","8","56204","0"
"M_ProcGrid","0","0","0"
"M_CircularProgressBar","0","0","0"
"M_Master_Main","24","224768","4"
"M_SimpleSkyDome","6","51352","0"
"M_ItemPreviewTranslucent_RT","0","0","0"
"M_UI_Background_simple","0","0","0"
"M_ItemBackground","0","0","0"
"M_UI_Background_complex","0","0","0"
"M_Canvas","0","0","0"
"M_Thumbnail","0","0","0"
"M_UE4Man_Body","40","334520","8"
"Material_0","64","434744","0"
"M_RVT_Basic_Landscape","8","67204","0"
"M_VT_Landscape","16","122952","0"
"Total","2062","17953775","94"
